date,dailyrmssd,deeprmssd
2025-01-28,53.04,36.308
2025-01-29,54.407,39.335
2025-01-30,56.383,49.987
2025-01-31,63.702,48.339
2025-02-01,55.748,50.414
2025-02-02,35.208,29.106
2025-02-03,57.071,0.0
2025-02-04,68.231,67.321
2025-02-05,67.072,58.991
2025-02-06,55.116,40.083
2025-02-07,53.85,28.011
2025-02-08,54.875,47.796
2025-02-09,65.801,53.638
2025-02-10,35.314,32.111
2025-02-11,46.368,37.098
2025-02-12,37.395,30.189
2025-02-13,59.93,45.796
2025-02-14,50.318,39.953
2025-02-15,28.062,24.403
2025-02-16,36.411,25.492
2025-02-17,48.294,38.669
2025-02-18,52.039,42.542
2025-02-19,53.513,43.276
